trial,day,infections
1,1,3
1,2,10
1,3,13
1,4,18
1,5,27
1,6,30
1,7,31
1,8,32
1,9,29
1,10,31
1,11,30
1,12,28
1,13,28
1,14,26
1,15,28
1,16,31
1,17,27
1,18,27
1,19,28
1,20,28
1,21,28
1,22,28
1,23,28
1,24,29
1,25,24
1,26,26
1,27,26
1,28,21
1,29,29
1,30,31
1,31,31
1,32,29
1,33,30
1,34,30
1,35,29
1,36,28
1,37,27
1,38,26
1,39,25
1,40,24
1,41,24
1,42,20
1,43,18
1,44,16
1,45,23
1,46,24
1,47,20
1,48,18
1,49,16
1,50,17
1,51,17
1,52,14
1,53,13
1,54,14
1,55,14
1,56,13
1,57,13
1,58,13
1,59,9
1,60,9
1,61,7
1,62,6
1,63,6
1,64,5
1,65,5
1,66,5
1,67,5
1,68,4
1,69,3
1,70,3
1,71,3
1,72,2
1,73,2
1,74,2
1,75,2
1,76,2
1,77,1
1,78,1
1,79,1
1,80,1
1,81,0
1,82,0
1,83,0
1,84,0
1,85,0
1,86,0
1,87,0
1,88,0
1,89,0
1,90,0
1,91,0
1,92,0
1,93,0
1,94,0
1,95,0
1,96,0
1,97,0
1,98,0
1,99,0
1,100,0
1,101,0
1,102,0
1,103,0
1,104,0
1,105,0
1,106,0
1,107,0
1,108,0
1,109,0
1,110,0
1,111,0
1,112,0
1,113,0
1,114,0
1,115,0
1,116,0
1,117,0
1,118,0
1,119,0
1,120,0
1,121,0
1,122,0
1,123,0
1,124,0
1,125,0
1,126,0
1,127,0
1,128,0
1,129,0
1,130,0
1,131,0
1,132,0
1,133,0
1,134,0
1,135,0
1,136,0
1,137,0
1,138,0
1,139,0
1,140,0
1,141,0
1,142,0
1,143,0
1,144,0
1,145,0
1,146,0
1,147,0
1,148,0
1,149,0
1,150,0
1,151,0
1,152,0
1,153,0
1,154,0
1,155,0
1,156,0
1,157,0
1,158,0
1,159,0
1,160,0
1,161,0
1,162,0
1,163,0
1,164,0
1,165,0
1,166,0
1,167,0
1,168,0
1,169,0
1,170,0
1,171,0
1,172,0
1,173,0
1,174,0
1,175,0
1,176,0
1,177,0
1,178,0
1,179,0
1,180,0
1,181,0
1,182,0
1,183,0
1,184,0
1,185,0
1,186,0
1,187,0
1,188,0
1,189,0
1,190,0
1,191,0
1,192,0
1,193,0
1,194,0
1,195,0
1,196,0
1,197,0
1,198,0
1,199,0
1,200,0
2,1,0
2,2,0
2,3,0
2,4,0
2,5,0
2,6,0
2,7,0
2,8,0
2,9,0
2,10,0
2,11,0
2,12,0
2,13,0
